/Users/z5241339/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-12-17 11:46:28,535 - INFO - [96/649] 爬取: Associate Professor Chun Tung Chou
2025-12-17 11:46:28,685 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/chun-tung-chou
2025-12-17 11:46:30,685 - INFO - [97/649] 爬取: Dr Clay (Guoyu) Chu
2025-12-17 11:46:30,751 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/clay-chu
2025-12-17 11:46:32,753 - INFO - [98/649] 爬取: Dr Xiaoran (Daisy) Chu
2025-12-17 11:46:32,811 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/xiaoran--daisy--chu
2025-12-17 11:46:34,816 - INFO - [99/649] 爬取: Dr Alison Ciesla
2025-12-17 11:46:34,907 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/alison-ciesla
2025-12-17 11:46:36,912 - INFO - [100/649] 爬取: Professor Stuart Clark
2025-12-17 11:46:37,021 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/stuart-clark
2025-12-17 11:46:37,021 - INFO - 中间保存进度: 100/649 | 成功: 100, 失败: 0
2025-12-17 11:46:39,045 - INFO - [101/649] 爬取: Mr Ian Coghlan
2025-12-17 11:46:39,128 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ian-coghlan
2025-12-17 11:46:41,130 - INFO - [102/649] 爬取: Mr Jialin Cong
2025-12-17 11:46:41,527 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/jialin-cong
2025-12-17 11:46:43,532 - INFO - [103/649] 爬取: Professor Gavin Conibeer
2025-12-17 11:46:43,757 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/gavin-conibeer
2025-12-17 11:46:45,762 - INFO - [104/649] 爬取: Associate Professor Ron Cox
2025-12-17 11:46:45,884 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ron-cox
2025-12-17 11:46:47,889 - INFO - [105/649] 爬取: Associate Professor Julian Cox
2025-12-17 11:46:47,974 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/julian-cox
2025-12-17 11:46:49,976 - INFO - [106/649] 爬取: Dr Francisco Cruz Naranjo
2025-12-17 11:46:50,092 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/francisco-cruz-naranjo
2025-12-17 11:46:52,097 - INFO - [107/649] 爬取: Ms Xin Cui
2025-12-17 11:46:52,160 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/xin-cui
2025-12-17 11:46:54,165 - INFO - [108/649] 爬取: Dr Ulrike Dackermann
2025-12-17 11:46:54,254 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ulrike-dackermann
2025-12-17 11:46:56,259 - INFO - [109/649] 爬取: Scientia Professor Liming Dai
2025-12-17 11:46:56,654 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/liming-dai
2025-12-17 11:46:58,659 - INFO - [110/649] 爬取: Dr Rahman Daiyan
2025-12-17 11:46:58,754 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/rahman-daiyan
2025-12-17 11:46:58,754 - INFO - 中间保存进度: 110/649 | 成功: 110, 失败: 0
2025-12-17 11:47:00,780 - INFO - [111/649] 爬取: Associate Professor Andrew Dansie
2025-12-17 11:47:00,842 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/andrew-dansie
2025-12-17 11:47:02,847 - INFO - [112/649] 爬取: Dr Ali Darejeh
2025-12-17 11:47:02,930 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ali-darejeh
2025-12-17 11:47:04,935 - INFO - [113/649] 爬取: Emeritus Professor Graham Davies
2025-12-17 11:47:05,373 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/graham-davies
2025-12-17 11:47:07,378 - INFO - [114/649] 爬取: Associate Professor Steven Davis
2025-12-17 11:47:07,521 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/steven-davis
2025-12-17 11:47:09,526 - INFO - [115/649] 爬取: Dr Ivan Miguel De Cachinho Cordeiro
2025-12-17 11:47:09,975 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ivan-miguel-de-cachinho-cordeiro
2025-12-17 11:47:11,980 - INFO - [116/649] 爬取: Dr Raveen De Silva
2025-12-17 11:47:12,361 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/raveen-de-silva
2025-12-17 11:47:14,366 - INFO - [117/649] 爬取: Dr Charitha de Silva
2025-12-17 11:47:14,488 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/charitha-de-silva
2025-12-17 11:47:16,493 - INFO - [118/649] 爬取: Dr Mohammad Deghat
2025-12-17 11:47:16,585 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/mohammad-deghat
2025-12-17 11:47:18,590 - INFO - [119/649] 爬取: Dr Mohammad Dehghanimadvar
2025-12-17 11:47:19,369 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/mohammad-dehghanimadvar
2025-12-17 11:47:21,374 - INFO - [120/649] 爬取: Professor Andrew Dempster
2025-12-17 11:47:21,689 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/andrew-dempster
2025-12-17 11:47:21,690 - INFO - 中间保存进度: 120/649 | 成功: 120, 失败: 0
2025-12-17 11:47:23,717 - INFO - [121/649] 爬取: Dr Fei Deng
2025-12-17 11:47:23,804 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/fei-deng
2025-12-17 11:47:25,809 - INFO - [122/649] 爬取: Dr Rong Deng
2025-12-17 11:47:25,882 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/rong-deng
2025-12-17 11:47:28,046 - INFO - [123/649] 爬取: Associate Professor Oliver Diessel
2025-12-17 11:47:28,153 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/oliver-diessel
2025-12-17 11:47:30,157 - INFO - [124/649] 爬取: Professor Vinayak Dixit
2025-12-17 11:47:30,329 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/vinayak-dixit
2025-12-17 11:47:32,334 - INFO - [125/649] 爬取: Dr Thanh Nho Do
2025-12-17 11:47:32,439 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/thanh-nho-do
2025-12-17 11:47:34,440 - INFO - [126/649] 爬取: Dr Lawrence Doctors
2025-12-17 11:47:34,549 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/lawrence-doctors
2025-12-17 11:47:36,554 - INFO - [127/649] 爬取: Associate Professor Socrates Dokos
2025-12-17 11:47:36,748 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/socrates-dokos
2025-12-17 11:47:38,753 - INFO - [128/649] 爬取: Dr Wenkui Dong
2025-12-17 11:47:38,839 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/wenkui-dong
2025-12-17 11:47:40,844 - INFO - [129/649] 爬取: Professor Con Doolan
2025-12-17 11:47:41,091 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/con-doolan
2025-12-17 11:47:43,096 - INFO - [130/649] 爬取: Dr Kurt Douglas
2025-12-17 11:47:43,169 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/kurt-douglas
2025-12-17 11:47:43,169 - INFO - 中间保存进度: 130/649 | 成功: 130, 失败: 0
2025-12-17 11:47:45,199 - INFO - [131/649] 爬取: Dr Zheyuan DU
